,prim_state,area,area_name,occ_code,occ_titl,tot_emp,a_mean,a_wpct10,a_wpct25,a_median,a_wpct75,a_wpct90,year
2212,AL,3440,"Huntsville, AL MSA",17-2061,Computer Hardware Engineers,         450,    71480,42670,59420,73980,86630,100880,2000
2437,AL,3440,"Huntsville, AL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         330,    27390,15600,17920,23480,37180,43360,2000
2517,AL,5160,"Mobile, AL MSA",11-3021,Computer and Information Systems Managers,         170,    57540,30160,44990,58130,71190,85980,2000
2543,AL,5160,"Mobile, AL MSA",13-1111,Management Analysts,          60,    55370,22810,40270,51130,65320,87920,2000
2813,AL,5160,"Mobile, AL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         240,    31640,18070,24110,29070,36990,43960,2000
2917,AL,5240,"Montgomery, AL MSA",11-3021,Computer and Information Systems Managers,         390,    64440,38440,54730,65140,75870,89370,2000
2941,AL,5240,"Montgomery, AL MSA",13-1111,Management Analysts,         130,    48230,22300,31670,45160,59840,83450,2000
2960,AL,5240,"Montgomery, AL MSA",15-2031,Operations Research Analysts,0,    46660,27320,31710,40590,57570,77140,2000
2961,AL,5240,"Montgomery, AL MSA",15-2041,Statisticians,          50,    35540,21340,25590,37030,42520,51080,2000
3216,AL,5240,"Montgomery, AL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         290,    32310,20390,24550,29990,36190,44080,2000
3305,AL,8600,"Tuscaloosa, AL MSA",11-3021,Computer and Information Systems Managers,          80,    56710,31880,39360,51490,70940,87840,2000
3508,AL,8600,"Tuscaloosa, AL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          80,    25820,17240,20490,25700,30900,35280,2000
3573,AR,2580,"Fayetteville-Springdale-Rogers, AR MSA",11-3021,Computer and Information Systems Managers,         200,    67420,40340,50980,66760,83670,97120,2000
3595,AR,2580,"Fayetteville-Springdale-Rogers, AR MSA",13-1111,Management Analysts,         120,    63610,32440,47840,73760,82500,87730,2000
3824,AR,2580,"Fayetteville-Springdale-Rogers, AR MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          50,    25060,13780,18710,22490,28650,38090,2000
3922,AR,2720,"Fort Smith, AR-OK MSA",11-3021,Computer and Information Systems Managers,          40,    59740,32290,39200,59490,72050,96970,2000
3947,AR,2720,"Fort Smith, AR-OK MSA",13-1111,Management Analysts,          30,    60550,40260,49830,57190,68640,85400,2000
4154,AR,2720,"Fort Smith, AR-OK MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          60,    26560,18860,21680,25970,30490,36580,2000
4255,AR,3700,"Jonesboro, AR MSA",13-1111,Management Analysts,          40,    43340,20680,26020,33400,43560,57110,2000
4386,AR,3700,"Jonesboro, AR MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          60,    25210,16920,20550,24830,29580,34330,2000
4442,AR,4400,"Little Rock-North Little Rock, AR MSA",11-3021,Computer and Information Systems Managers,         390,    70190,41980,50750,65430,87890,111530,2000
4473,AR,4400,"Little Rock-North Little Rock, AR MSA",13-1111,Management Analysts,        2030,    39180,26150,30710,36150,44930,54810,2000
4493,AR,4400,"Little Rock-North Little Rock, AR MSA",15-2031,Operations Research Analysts,         110,    51950,25810,30940,46300,72450,89160,2000
4494,AR,4400,"Little Rock-North Little Rock, AR MSA",15-2041,Statisticians,          80,    40790,25680,32300,39680,46460,57260,2000
4758,AR,4400,"Little Rock-North Little Rock, AR MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         500,    29950,19140,22550,27460,35170,44210,2000
4890,AR,6240,"Pine Bluff, AR MSA",13-1111,Management Analysts,          50,    42360,24240,27070,44470,54040,65280,2000
5040,AZ,2620,"Flagstaff, AZ-UT MSA",11-3021,Computer and Information Systems Managers,          40,    64750,46460,56920,64080,70770,89160,2000
5061,AZ,2620,"Flagstaff, AZ-UT MSA",13-1111,Management Analysts,          40,    43660,29920,33250,39570,50360,66340,2000
5074,AZ,2620,"Flagstaff, AZ-UT MSA",17-2061,Computer Hardware Engineers,0,    61500,38620,55940,63840,70870,82720,2000
5293,AZ,6200,"Phoenix-Mesa, AZ MSA",11-3021,Computer and Information Systems Managers,        4100,    75450,45290,60790,76990,89950,107810,2000
5325,AZ,6200,"Phoenix-Mesa, AZ MSA",13-1111,Management Analysts,        6710,    50830,29640,35650,45080,60370,84730,2000
5350,AZ,6200,"Phoenix-Mesa, AZ MSA",15-2031,Operations Research Analysts,         790,    46400,24910,29220,41310,58840,78300,2000
5351,AZ,6200,"Phoenix-Mesa, AZ MSA",15-2041,Statisticians,         210,    48290,30360,34620,43420,61450,76270,2000
5361,AZ,6200,"Phoenix-Mesa, AZ MSA",17-2061,Computer Hardware Engineers,        1100,    66540,41690,50680,63440,81220,100600,2000
5729,AZ,6200,"Phoenix-Mesa, AZ MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        2140,    29260,21610,24390,27450,32850,40860,2000
5885,AZ,8520,"Tucson, AZ MSA",11-3021,Computer and Information Systems Managers,         410,    59660,31540,39580,57120,73850,92150,2000
5912,AZ,8520,"Tucson, AZ MSA",13-1111,Management Analysts,         680,    52270,29970,37360,49410,63220,82010,2000
6235,AZ,8520,"Tucson, AZ MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         280,    35320,21390,25620,32860,44160,54420,2000
6353,AZ,9360,"Yuma, AZ MSA",13-1111,Management Analysts,          60,    40380,24820,27570,40420,52130,57490,2000
6550,CA,680,"Bakersfield, CA MSA",11-3021,Computer and Information Systems Managers,         140,    69090,33320,58420,66800,83670,106870,2000
6575,CA,680,"Bakersfield, CA MSA",13-1111,Management Analysts,         290,    61020,39470,48060,60210,70130,85420,2000
6592,CA,680,"Bakersfield, CA MSA",15-2031,Operations Research Analysts,          80,    73200,49880,63620,76150,85560,92670,2000
6599,CA,680,"Bakersfield, CA MSA",17-2061,Computer Hardware Engineers,         240,    71870,50520,59930,69760,83360,98120,2000
6849,CA,680,"Bakersfield, CA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    36880,23350,26790,33000,42120,64820,2000
6940,CA,1620,"Chico-Paradise, CA MSA",11-3021,Computer and Information Systems Managers,          60,    53850,32050,38430,51450,64150,85070,2000
6962,CA,1620,"Chico-Paradise, CA MSA",13-1111,Management Analysts,          70,    62440,28110,32250,46060,120690,138830,2000
7150,CA,1620,"Chico-Paradise, CA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    26450,17900,19990,24550,31470,40200,2000
7211,CA,2840,"Fresno, CA MSA",11-3021,Computer and Information Systems Managers,         210,    66680,42700,51460,63260,76860,97510,2000
7240,CA,2840,"Fresno, CA MSA",13-1111,Management Analysts,         410,    50790,37470,40950,47780,59060,70170,2000
7259,CA,2840,"Fresno, CA MSA",15-2031,Operations Research Analysts,0,    44900,29150,34210,43640,55970,65100,2000
7547,CA,2840,"Fresno, CA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         240,    27790,16250,21340,27690,33870,40650,2000
7661,CA,4480,"Los Angeles-Long Beach, CA PMSA",11-3021,Computer and Information Systems Managers,        8570,    83470,47770,65600,83510,103230,123880,2000
7693,CA,4480,"Los Angeles-Long Beach, CA PMSA",13-1111,Management Analysts,       10700,    63370,36650,46830,60440,75190,102740,2000
7719,CA,4480,"Los Angeles-Long Beach, CA PMSA",15-2031,Operations Research Analysts,        1490,    57410,38290,46200,55850,67690,80850,2000
7720,CA,4480,"Los Angeles-Long Beach, CA PMSA",15-2041,Statisticians,0,    69020,34440,41410,55690,100970,133660,2000
7730,CA,4480,"Los Angeles-Long Beach, CA PMSA",17-2061,Computer Hardware Engineers,        1330,    71800,32060,47140,67580,90860,128940,2000
8118,CA,4480,"Los Angeles-Long Beach, CA PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        3820,    32470,16360,19830,26700,36590,52590,2000
8295,CA,4940,"Merced, CA MSA",11-3021,Computer and Information Systems Managers,          30,    71300,46610,53990,66810,83020,106990,2000
8525,CA,5170,"Modesto, CA MSA",11-3021,Computer and Information Systems Managers,         200,    69400,36320,49900,64240,80620,139640,2000
8551,CA,5170,"Modesto, CA MSA",13-1111,Management Analysts,          50,    60780,38920,43830,53010,73910,90250,2000
8777,CA,5170,"Modesto, CA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          90,    39900,20960,26540,34230,42460,75820,2000
8864,CA,5775,"Oakland, CA PMSA",11-3021,Computer and Information Systems Managers,        3030,    86290,51170,66130,85500,108360,129660,2000
8894,CA,5775,"Oakland, CA PMSA",13-1111,Management Analysts,        2530,    65230,36730,49870,62890,79490,98510,2000
8919,CA,5775,"Oakland, CA PMSA",15-2031,Operations Research Analysts,0,   100320,52700,66320,91500,145601,145601,2000
8920,CA,5775,"Oakland, CA PMSA",15-2041,Statisticians,         100,    63100,44740,48740,55430,67010,102140,2000
8930,CA,5775,"Oakland, CA PMSA",17-2061,Computer Hardware Engineers,        1530,    90690,59620,67170,89540,114140,137360,2000
9256,CA,5775,"Oakland, CA PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    33810,23980,28450,32480,38260,45030,2000
9415,CA,5945,"Orange County, CA PMSA",11-3021,Computer and Information Systems Managers,        4040,    87240,47390,67430,88060,108980,138450,2000
9445,CA,5945,"Orange County, CA PMSA",13-1111,Management Analysts,        4100,    71240,42360,52740,68410,87620,109990,2000
9470,CA,5945,"Orange County, CA PMSA",15-2031,Operations Research Analysts,         400,    55480,39150,46000,52330,62250,78810,2000
9471,CA,5945,"Orange County, CA PMSA",15-2041,Statisticians,          40,    65730,33670,51220,69760,82630,89830,2000
9479,CA,5945,"Orange County, CA PMSA",17-2061,Computer Hardware Engineers,         940,    69500,38660,53190,67330,84080,109600,2000
9825,CA,5945,"Orange County, CA PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    34340,20520,25290,33730,41620,49720,2000
9985,CA,6690,"Redding, CA MSA",11-3021,Computer and Information Systems Managers,          40,    56380,37880,41240,47170,66780,86820,2000
10007,CA,6690,"Redding, CA MSA",13-1111,Management Analysts,          50,    48790,32540,37640,43580,53500,69190,2000
10200,CA,6690,"Redding, CA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          50,    26440,15880,18450,26450,32100,37020,2000
10264,CA,6780,"Riverside-San Bernardino, CA PMSA",11-3021,Computer and Information Systems Managers,         680,    69940,42410,54100,67110,82260,103070,2000
10293,CA,6780,"Riverside-San Bernardino, CA PMSA",13-1111,Management Analysts,        1230,    51660,37640,43000,51130,58830,68490,2000
10315,CA,6780,"Riverside-San Bernardino, CA PMSA",15-2031,Operations Research Analysts,          70,    53110,37740,42110,51300,63670,73430,2000
10316,CA,6780,"Riverside-San Bernardino, CA PMSA",15-2041,Statisticians,0,    59260,36690,48950,61570,70070,80220,2000
10325,CA,6780,"Riverside-San Bernardino, CA PMSA",17-2061,Computer Hardware Engineers,          70,    63700,37490,41220,53190,84330,106360,2000
10670,CA,6780,"Riverside-San Bernardino, CA PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         280,    25530,18370,20390,24020,30070,35920,2000
10835,CA,6920,"Sacramento, CA PMSA",11-3021,Computer and Information Systems Managers,        1560,    81620,51010,66440,81090,96630,116000,2000
10865,CA,6920,"Sacramento, CA PMSA",13-1111,Management Analysts,        1560,    56730,31280,40910,52310,66780,90200,2000
10888,CA,6920,"Sacramento, CA PMSA",15-2031,Operations Research Analysts,        1020,    59050,44870,53760,61370,67240,70770,2000
10889,CA,6920,"Sacramento, CA PMSA",15-2041,Statisticians,          60,    54530,37220,42140,52970,66670,78790,2000
10898,CA,6920,"Sacramento, CA PMSA",17-2061,Computer Hardware Engineers,0,    84640,50880,64370,83190,105510,132470,2000
11223,CA,6920,"Sacramento, CA PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         490,    35870,21240,29200,34810,42750,52170,2000
11355,CA,7120,"Salinas, CA MSA",11-3021,Computer and Information Systems Managers,         110,    82860,51410,63800,82600,99380,122710,2000
11380,CA,7120,"Salinas, CA MSA",13-1111,Management Analysts,0,    56090,38210,44320,53480,66710,81430,2000
11626,CA,7120,"Salinas, CA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         150,    32890,22990,27140,33670,39680,43050,2000
11698,CA,7320,"San Diego, CA MSA",11-3021,Computer and Information Systems Managers,        3170,    74730,48910,59250,70730,92350,109860,2000
11729,CA,7320,"San Diego, CA MSA",13-1111,Management Analysts,        4040,    49440,24490,29890,48690,64410,78590,2000
11754,CA,7320,"San Diego, CA MSA",15-2031,Operations Research Analysts,         180,    62320,37820,47610,58270,75800,91690,2000
11755,CA,7320,"San Diego, CA MSA",15-2041,Statisticians,         100,    60710,30820,47460,58880,73890,89890,2000
11765,CA,7320,"San Diego, CA MSA",17-2061,Computer Hardware Engineers,         930,    69260,39480,48960,72250,87270,100600,2000
12095,CA,7320,"San Diego, CA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        1140,    32550,19580,22730,28810,37920,50490,2000
12249,CA,7360,"San Francisco, CA PMSA",11-3021,Computer and Information Systems Managers,        4620,    95620,52190,70320,94300,126520,145601,2000
12282,CA,7360,"San Francisco, CA PMSA",13-1111,Management Analysts,        7310,    65650,40470,49650,63310,79100,98920,2000
12307,CA,7360,"San Francisco, CA PMSA",15-2031,Operations Research Analysts,         770,    68950,37290,49830,63570,81030,121840,2000
12308,CA,7360,"San Francisco, CA PMSA",15-2041,Statisticians,0,    73110,57630,62720,71290,82180,88800,2000
12317,CA,7360,"San Francisco, CA PMSA",17-2061,Computer Hardware Engineers,0,    80220,49140,60500,79440,100560,122450,2000
12683,CA,7360,"San Francisco, CA PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        1440,    36310,26540,30080,34010,41670,51150,2000
12827,CA,7400,"San Jose, CA PMSA",11-3021,Computer and Information Systems Managers,        8560,   108500,76360,96330,109990,131020,145601,2000
12856,CA,7400,"San Jose, CA PMSA",13-1111,Management Analysts,        3950,    85330,46410,56610,70940,128620,145601,2000
12880,CA,7400,"San Jose, CA PMSA",15-2031,Operations Research Analysts,        1680,    78030,48290,60490,75910,86830,141600,2000
12881,CA,7400,"San Jose, CA PMSA",15-2041,Statisticians,          70,    68120,46250,51280,60330,71700,129790,2000
12889,CA,7400,"San Jose, CA PMSA",17-2061,Computer Hardware Engineers,        4110,    86960,56180,68980,85690,106410,129350,2000
13213,CA,7400,"San Jose, CA PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        2630,    39020,25150,31140,38040,45890,54430,2000
13351,CA,7460,"San Luis Obispo-Atascadero-Paso Robles, CA MSA",11-3021,Computer and Information Systems Managers,         100,    60170,35830,43290,62190,74340,87960,2000
13376,CA,7460,"San Luis Obispo-Atascadero-Paso Robles, CA MSA",13-1111,Management Analysts,0,    53380,33050,43410,51440,57470,78970,2000
13396,CA,7460,"San Luis Obispo-Atascadero-Paso Robles, CA MSA",17-2061,Computer Hardware Engineers,0,    48790,36710,38570,41650,44810,81390,2000
13620,CA,7460,"San Luis Obispo-Atascadero-Paso Robles, CA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          70,    20430,14640,15550,17060,24320,31260,2000
13687,CA,7480,"Santa Barbara-Santa Maria-Lompoc, CA MSA",11-3021,Computer and Information Systems Managers,         290,    77700,43240,60720,78680,91970,113370,2000
13712,CA,7480,"Santa Barbara-Santa Maria-Lompoc, CA MSA",13-1111,Management Analysts,         250,    59400,43850,50160,59100,67720,75990,2000
13733,CA,7480,"Santa Barbara-Santa Maria-Lompoc, CA MSA",15-2031,Operations Research Analysts,          40,    58890,36050,48070,55710,66690,81170,2000
13739,CA,7480,"Santa Barbara-Santa Maria-Lompoc, CA MSA",17-2061,Computer Hardware Engineers,0,    77850,46430,61560,78410,95570,113850,2000
13975,CA,7480,"Santa Barbara-Santa Maria-Lompoc, CA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         120,    32340,20900,29000,31690,34360,38810,2000
14056,CA,7485,"Santa Cruz-Watsonville, CA PMSA",11-3021,Computer and Information Systems Managers,         210,    77080,33700,56470,74620,103070,117180,2000
14080,CA,7485,"Santa Cruz-Watsonville, CA PMSA",13-1111,Management Analysts,         130,    73110,38070,42040,67780,106110,114830,2000
14098,CA,7485,"Santa Cruz-Watsonville, CA PMSA",15-2031,Operations Research Analysts,0,    51430,37570,42560,51480,61460,68120,2000
14102,CA,7485,"Santa Cruz-Watsonville, CA PMSA",17-2061,Computer Hardware Engineers,         140,    57200,39410,43230,54220,69030,82650,2000
14381,CA,7500,"Santa Rosa, CA PMSA",11-3021,Computer and Information Systems Managers,         220,    76220,41860,60830,77130,92110,111030,2000
14430,CA,7500,"Santa Rosa, CA PMSA",17-2061,Computer Hardware Engineers,0,    66020,41010,50530,65790,81660,93970,2000
14695,CA,7500,"Santa Rosa, CA PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          70,    30620,19720,21940,28320,38440,43960,2000
14788,CA,8120,"Stockton-Lodi, CA MSA",11-3021,Computer and Information Systems Managers,         150,    65460,39090,47170,61840,78240,96590,2000
15150,CA,8720,"Vallejo-Fairfield-Napa, CA PMSA",11-3021,Computer and Information Systems Managers,         170,    74840,47080,56800,69490,91530,114940,2000
15177,CA,8720,"Vallejo-Fairfield-Napa, CA PMSA",13-1111,Management Analysts,0,    74150,39710,48060,62320,84700,145601,2000
15193,CA,8720,"Vallejo-Fairfield-Napa, CA PMSA",15-2031,Operations Research Analysts,0,    51400,30260,35590,51810,64190,76300,2000
15442,CA,8720,"Vallejo-Fairfield-Napa, CA PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    23090,18130,19310,21260,25610,32680,2000
15536,CA,8735,"Ventura, CA PMSA",11-3021,Computer and Information Systems Managers,         390,    81940,46490,58550,81720,102010,129810,2000
15562,CA,8735,"Ventura, CA PMSA",13-1111,Management Analysts,         540,    65500,39900,47730,58440,91130,106540,2000
15583,CA,8735,"Ventura, CA PMSA",15-2031,Operations Research Analysts,          40,    61450,39620,47130,57660,71180,88430,2000
15589,CA,8735,"Ventura, CA PMSA",17-2061,Computer Hardware Engineers,         210,    73920,45010,56710,68780,90370,116560,2000
15854,CA,8735,"Ventura, CA PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         230,    28050,18570,22110,26520,34070,41230,2000
15970,CA,8780,"Visalia-Tulare-Porterville, CA MSA",11-3021,Computer and Information Systems Managers,         100,    63280,32720,45020,59470,82180,93690,2000
16301,CA,9270,"Yolo, CA PMSA",11-3021,Computer and Information Systems Managers,          60,    78660,39060,47640,72500,107330,129900,2000
16323,CA,9270,"Yolo, CA PMSA",13-1111,Management Analysts,         180,    56780,37420,42620,55950,69520,82730,2000
16492,CA,9270,"Yolo, CA PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    39760,23080,28110,36220,51440,64000,2000
16683,CA,9340,"Yuba City, CA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    35810,25050,28470,38320,41520,43440,2000
16727,CO,1125,"Boulder-Longmont, CO PMSA",11-3021,Computer and Information Systems Managers,        1080,    95450,58010,77140,97140,118930,138230,2000
16750,CO,1125,"Boulder-Longmont, CO PMSA",13-1111,Management Analysts,         510,    54630,24820,30430,44450,68020,109920,2000
16768,CO,1125,"Boulder-Longmont, CO PMSA",15-2031,Operations Research Analysts,         160,    51770,35520,41710,52050,62310,70010,2000
16775,CO,1125,"Boulder-Longmont, CO PMSA",17-2061,Computer Hardware Engineers,         450,    82690,54270,65020,81130,99990,115280,2000
17011,CO,1125,"Boulder-Longmont, CO PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         350,    38600,22460,31560,39150,45150,53330,2000
17105,CO,1720,"Colorado Springs, CO MSA",11-3021,Computer and Information Systems Managers,         840,    82890,51690,63590,80160,103000,126710,2000
17131,CO,1720,"Colorado Springs, CO MSA",13-1111,Management Analysts,         900,    50040,29290,35100,48300,57780,73890,2000
17153,CO,1720,"Colorado Springs, CO MSA",15-2031,Operations Research Analysts,          50,    70210,50480,60410,70750,81650,89210,2000
17160,CO,1720,"Colorado Springs, CO MSA",17-2061,Computer Hardware Engineers,         320,    78340,52360,62810,79580,94260,108500,2000
17422,CO,1720,"Colorado Springs, CO MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         200,    32710,20430,24650,32090,40370,45970,2000
17523,CO,2080,"Denver, CO PMSA",11-3021,Computer and Information Systems Managers,        5190,    86240,53630,67500,84510,106090,130050,2000
17555,CO,2080,"Denver, CO PMSA",13-1111,Management Analysts,        2560,    64410,37750,45090,57870,75980,107190,2000
17580,CO,2080,"Denver, CO PMSA",15-2031,Operations Research Analysts,         400,    51060,37070,43470,50130,56060,67210,2000
17581,CO,2080,"Denver, CO PMSA",15-2041,Statisticians,         250,    52600,33670,39150,49180,64930,76830,2000
17590,CO,2080,"Denver, CO PMSA",17-2061,Computer Hardware Engineers,         810,    71350,48860,58420,70850,84630,98780,2000
17956,CO,2080,"Denver, CO PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        2110,    34790,24380,28310,33610,40800,46860,2000
18108,CO,2670,"Fort Collins-Loveland, CO MSA",11-3021,Computer and Information Systems Managers,         170,    80130,39900,59780,81830,102500,115060,2000
18132,CO,2670,"Fort Collins-Loveland, CO MSA",13-1111,Management Analysts,          90,    58480,27760,40680,53330,68560,92650,2000
18153,CO,2670,"Fort Collins-Loveland, CO MSA",17-2061,Computer Hardware Engineers,         310,    79010,44380,60030,77250,91930,118350,2000
18355,CO,2670,"Fort Collins-Loveland, CO MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          90,    30430,21180,25520,31160,35350,39640,2000
18433,CO,2995,"Grand Junction, CO MSA",11-3021,Computer and Information Systems Managers,          30,    44820,16970,23540,34930,75080,84860,2000
18454,CO,2995,"Grand Junction, CO MSA",13-1111,Management Analysts,          30,    43870,29910,31920,35280,50840,68760,2000
18622,CO,2995,"Grand Junction, CO MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          60,    28110,19410,22550,28110,32880,37860,2000
18674,CO,3060,"Greeley, CO PMSA",11-3021,Computer and Information Systems Managers,         110,    52680,24070,27830,44620,70100,95780,2000
18697,CO,3060,"Greeley, CO PMSA",13-1111,Management Analysts,          40,    60530,35530,41930,55940,77790,89070,2000
18876,CO,3060,"Greeley, CO PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          30,    36160,21850,33930,38470,41770,43750,2000
18933,CO,6560,"Pueblo, CO MSA",11-3021,Computer and Information Systems Managers,          50,    56490,26940,32660,54770,72480,92760,2000
18953,CO,6560,"Pueblo, CO MSA",13-1111,Management Analysts,          30,    63560,38660,45860,58100,71660,108760,2000
19173,CT,1160,"Bridgeport, CT PMSA",11-3021,Computer and Information Systems Managers,         430,    90310,56920,75190,93250,108820,126650,2000
19197,CT,1160,"Bridgeport, CT PMSA",13-1111,Management Analysts,         860,    73950,43480,51190,62900,84200,145601,2000
19215,CT,1160,"Bridgeport, CT PMSA",15-2031,Operations Research Analysts,0,    57280,38530,44940,54850,67460,81540,2000
19220,CT,1160,"Bridgeport, CT PMSA",17-2061,Computer Hardware Engineers,          70,    67610,57230,62230,67920,73770,85080,2000
19447,CT,1160,"Bridgeport, CT PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         100,    49180,28700,32580,49080,63550,75880,2000
19553,CT,1930,"Danbury, CT PMSA",11-3021,Computer and Information Systems Managers,         180,    85220,42760,61420,85680,110780,134710,2000
19576,CT,1930,"Danbury, CT PMSA",13-1111,Management Analysts,         260,    63410,34150,44980,59760,76680,104280,2000
19594,CT,1930,"Danbury, CT PMSA",15-2031,Operations Research Analysts,          90,    56300,34070,49360,56460,66890,74180,2000
19796,CT,1930,"Danbury, CT PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    31000,17350,20390,31160,39020,49760,2000
19872,CT,3280,"Hartford, CT MSA",11-3021,Computer and Information Systems Managers,        2340,    91720,58590,72910,87820,113250,142870,2000
19902,CT,3280,"Hartford, CT MSA",13-1111,Management Analysts,        3460,    62730,36660,44080,56860,73770,104480,2000
